Code,ID,Replicate,Site,Day,Month,Year,Date,Latitude,Longitude,Zone,Type,Depth,Surveyors,Reef,Acanthastrea,Acropora,Alveopora,Astreopora,Caulastraea,Coscinaraea,Cyphastrea,Dendrophyllia,Diploastrea,Echinophyllia,Echinopora,Euphyllia,Favia,Favites,Fungia,Galaxea,Gardineroseris,Goniastrea,Goniopora,Heliofungia,Heliopora,Herpolitha,Hydnophora,Leptastrea,Leptoria,Leptoseris,Lithophyllon,Lobophyllia,Madracis,Merulina,Millepora,Montastraea,Montipora,Mycedium,Oulastrea,Oulophyllia,Oxypora,Pachyseris,Pavona,Pectinia,Physogyra,Platygyra,Plerogyra,Plesiastrea,Pocillopora,Podabacia,Polyphyllia,Porites,Psammocora,Pseudosiderastrea,Scapophyllia,Stylocoeniella,Symphyllia,Trachyphyllia,Tubastraea,Turbinaria,Unknown
LZ-E-D10-1990-4-12-T2,SGRET2008-2,2,LZ-E,12,4,1990,12/4/1990,1.221944444,103.8591667,Slope,Fringing,10,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZ-E-D10-1993-10-14-T1,SGRET2102-1,1,LZ-E,14,10,1993,14/10/1993,1.221944444,103.8591667,Slope,Fringing,10,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZ-E-D10-1993-10-14-T2,SGRET2102-2,2,LZ-E,14,10,1993,14/10/1993,1.221944444,103.8591667,Slope,Fringing,10,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
LZ-E-D3-1990-4-12-T2,SGRET2006-2,2,LZ-E,12,4,1990,12/4/1990,1.221944444,103.8591667,Slope,Fringing,3,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZ-E-D3-1990-4-12-T3,SGRET2006-3,3,LZ-E,12,4,1990,12/4/1990,1.221944444,103.8591667,Slope,Fringing,3,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZ-E-D3-1990-4-12-T4,SGRET2006-4,4,LZ-E,12,4,1990,12/4/1990,1.221944444,103.8591667,Slope,Fringing,3,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZ-E-D3-1993-10-14-T1,SGRET2100-1,1,LZ-E,14,10,1993,14/10/1993,1.221944444,103.8591667,Slope,Fringing,3,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
LZ-E-D3-1993-10-14-T2,SGRET2100-2,2,LZ-E,14,10,1993,14/10/1993,1.221944444,103.8591667,Slope,Fringing,3,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZ-E-D3-1993-10-14-T4,SGRET2100-4,4,LZ-E,14,10,1993,14/10/1993,1.221944444,103.8591667,Slope,Fringing,3,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZ-E-D3-1993-10-14-T5,SGRET2100-5,5,LZ-E,14,10,1993,14/10/1993,1.221944444,103.8591667,Slope,Fringing,3,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
LZ-E-D3-1997-9-29-T1,SGTMS0014-1,1,LZ-E,29,9,1997,29/9/1997,1.221944444,103.8591667,Slope,Fringing,3,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,20,0
LZ-E-D3-1997-9-29-T3,SGTMS0014-3,3,LZ-E,29,9,1997,29/9/1997,1.221944444,103.8591667,Slope,Fringing,3,REST,Lazarus Island,0,0,0,0,0,0,23,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,5,0,0
LZ-E-D3-1997-9-29-T4,SGTMS0014-4,4,LZ-E,29,9,1997,29/9/1997,1.221944444,103.8591667,Slope,Fringing,3,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZ-E-D3-2000-8-22-T1,SGTMS0064-1,1,LZ-E,22,8,2000,22/8/2000,1.221944444,103.8591667,Slope,Fringing,3,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZ-E-D3-2000-8-22-T2,SGTMS0064-2,2,LZ-E,22,8,2000,22/8/2000,1.221944444,103.8591667,Slope,Fringing,3,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZ-E-D3-2000-8-22-T3,SGTMS0064-3,3,LZ-E,22,8,2000,22/8/2000,1.221944444,103.8591667,Slope,Fringing,3,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZ-E-D3-2000-8-22-T5,SGTMS0064-5,5,LZ-E,22,8,2000,22/8/2000,1.221944444,103.8591667,Slope,Fringing,3,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,11,0,0,0,0,0,0,0,0,0
LZ-E-D6-1993-10-14-T2,SGRET2101-2,2,LZ-E,14,10,1993,14/10/1993,1.221944444,103.8591667,Slope,Fringing,6,REST,Lazarus Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
