Code,ID,Location,Site,Day,Month,Year,Date,Latitude,Longitude,Zone,Type,Depth,Replicate,Surveyors,Acanthastrea,Acropora,Alveopora,Astreopora,Caulastraea,Cladopsammia,Coscinaraea,Ctenactis,Cycloseris,Cyphastrea,Diploastrea,Dipsastraea,Echinophyllia,Echinopora,Euphyllia,Favites,Fungia,Galaxea,Goniastrea,Goniopora,Heliofungia,Heliopora,Herpolitha,Hydnophora,Isopora,Leptastrea,Leptoria,Leptoseris,Lithophyllon,Lobactis,Lobophyllia,Madracis,Merulina,Micromussa,Millepora,Montipora,Mycedium,Oulastrea,Oulophyllia,Oxypora,Pachyseris,Pavona,Pectinia,Physogyra,Platygyra,Plerogyra,Plesiastrea,Pleuractis,Pocillopora,Podabacia,Polyphyllia,Porites,Psammocora,Pseudosiderastrea,Scapophyllia,Stylocoeniella,Trachyphyllia,Tubastraea,Turbinaria,Unknown
CY-N-D0-1991-11-20-T3,SGRET2017-3,Cyrene Reef,CY-N,20,11,1991,20/11/1991,1.258333333,103.7586111,Slope,Patch,0,3,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
CY-N-D0-1991-11-20-T4,SGRET2017-4,Cyrene Reef,CY-N,20,11,1991,20/11/1991,1.258333333,103.7586111,Slope,Patch,0,4,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-N-D0-1991-11-20-T5,SGRET2017-5,Cyrene Reef,CY-N,20,11,1991,20/11/1991,1.258333333,103.7586111,Slope,Patch,0,5,REST,0,0,0,0,0,0,0,0,0,0,0,6,21,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,25,0
CY-N-D3-1991-11-20-T1,SGRET2018-1,Cyrene Reef,CY-N,20,11,1991,20/11/1991,1.258333333,103.7586111,Slope,Patch,3,1,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-N-D3-1991-11-20-T2,SGRET2018-2,Cyrene Reef,CY-N,20,11,1991,20/11/1991,1.258333333,103.7586111,Slope,Patch,3,2,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
CY-N-D3-1991-11-20-T4,SGRET2018-4,Cyrene Reef,CY-N,20,11,1991,20/11/1991,1.258333333,103.7586111,Slope,Patch,3,4,REST,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-N-D3-1991-11-20-T5,SGRET2018-5,Cyrene Reef,CY-N,20,11,1991,20/11/1991,1.258333333,103.7586111,Slope,Patch,3,5,REST,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-N-D6-1991-11-20-T2,SGRET2019-2,Cyrene Reef,CY-N,20,11,1991,20/11/1991,1.258333333,103.7586111,Slope,Patch,6,2,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-N-D6-1991-11-20-T3,SGRET2019-3,Cyrene Reef,CY-N,20,11,1991,20/11/1991,1.258333333,103.7586111,Slope,Patch,6,3,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-N-D6-1991-11-20-T4,SGRET2019-4,Cyrene Reef,CY-N,20,11,1991,20/11/1991,1.258333333,103.7586111,Slope,Patch,6,4,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-N-D6-1991-11-20-T5,SGRET2019-5,Cyrene Reef,CY-N,20,11,1991,20/11/1991,1.258333333,103.7586111,Slope,Patch,6,5,REST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CY-S-D0-1991-12-11-T1,SGRET2021-1,Cyrene Reef,CY-S,11,12,1991,11/12/1991,1.257222222,103.7533333,Slope,Patch,0,1,REST,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0
