"","spp","modgen","pastgen","RDB3.status","First.known","Last.known","grow","n.grow","sd.grow","skel","n.skel","sd.skel","calc","n.calc","sd.calc","corwidth","n.corwidth","cmd","n.cmd","col","repmode","sex","symb","branching","encrusting","laminar","massive","submassive","lifehist","iucn"
"57","Astreopora expansa","Astreopora","Astreopora","DD","1991 (ZRC.1991.692, Huang et al)","2020 (Quek et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2,NA,NA,"colonial",NA,NA,NA,0,0,1,0,0,NA,"NT"
"58","Astreopora gracilis","Astreopora","Astreopora","NT","1988 (ZRC, 19881209)","2021 (Lee et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,NA,"LC"
"59","Astreopora incrustans","Astreopora","Astreopora","DD","1984 (ZRC, 19840410)","2017 (REL collections)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,100,1,"colonial",NA,NA,NA,0,1,1,0,1,NA,"VU"
"60","Astreopora listeri","Astreopora","Astreopora","NT","1986 (ZRC, 19860418)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,1,0,NA,"LC"
"61","Astreopora myriophthalma","Astreopora","Astreopora","LC","1956 (as Astraeopora myriophthalma; Purchon)","2020 (Lim et al)",7.75,2,3.53553390593274,NA,NA,NA,NA,NA,NA,2.2,2,NA,NA,"colonial","spawner","hermaphrodite","no",0,0,0,1,0,"stress-tolerant","LC"
"62","Isopora brueggemanni","Isopora","Acropora","DD","1956 (as Acropora brueggemanni; Purchon)","1995 (Loo & Chou)",74.8,1,NA,NA,NA,NA,NA,NA,NA,1.3,2,NA,NA,"colonial","brooder","hermaphrodite",NA,1,0,0,0,0,NA,"VU"
"63","Isopora palifera","Isopora","Acropora","DD","1991 (ZRC.1991.596, Huang et al)","1991 (ZRC.1991.596, Huang et al)",NA,NA,NA,1.52,1,NA,NA,NA,NA,1.05,2,NA,NA,"colonial","brooder","hermaphrodite",NA,1,1,0,0,1,NA,"NT"
"64","Montipora aequituberculata","Montipora","Montipora","DD","1989 (ZRC, 19892301)","2019 (Chow et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,NA,NA,"colonial","spawner","hermaphrodite","yes",0,1,1,0,1,NA,"LC"
"65","Montipora angulata","Montipora","Montipora","DD","1987 (ZRC, 19870216)","1992 (ZRC,N322,199206)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,2,NA,NA,"colonial",NA,NA,NA,1,1,0,0,0,NA,"VU"
"66","Montipora capricornis","Montipora","Montipora","DD","1988 (ZRC, BB42, 19880620","Loo and Chou 1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,NA,NA,"colonial","spawner","hermaphrodite","yes",0,1,1,0,1,NA,"VU"
"67","Montipora corbettensis","Montipora","Montipora","NT","1985 (ZRC, 19850722)","2019 (Chow et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,2,NA,NA,"colonial",NA,NA,NA,0,1,0,1,1,NA,"VU"
"68","Montipora crassituberculata","Montipora","Montipora","DD","1985 (ZRC, 19850726)","Loo and Chou 1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35,2,NA,NA,"colonial","spawner","hermaphrodite","yes",0,1,1,0,1,NA,"VU"
"69","Montipora danae","Montipora","Montipora","NT","1985 (ZRC, 19850802)","2019 (Chow et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,2,NA,NA,"colonial","spawner","hermaphrodite","yes",0,0,1,0,1,"generalist","LC"
"70","Montipora digitata","Montipora","Montipora","VU","1956 (as Montipora fruticosa; Purchon)","2018 (Wong et al)",41.494,11,33.5871124689218,NA,NA,NA,NA,NA,NA,0.85,2,NA,NA,"colonial","spawner","hermaphrodite","yes",1,0,0,0,0,"competitive","LC"
"71","Montipora efflorescens","Montipora","Montipora","NT","1956 (Purchon)","2020 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2,NA,NA,"colonial","spawner","hermaphrodite","yes",0,0,0,1,1,NA,"NT"
"72","Montipora foliosa","Montipora","Montipora","NT","1956 (as Montipora prolifera; Purchon)","2018 (Wong et al)",32.5,1,NA,NA,NA,NA,NA,NA,NA,0.75,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,1,0,0,NA,"NT"
"73","Montipora grisea","Montipora","Montipora","VU","1985 (ZRC, 19850805)","2020 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,"colonial","spawner","hermaphrodite","yes",0,1,0,1,0,NA,"LC"
"74","Montipora hispida","Montipora","Montipora","NT","1881 (as Montipora hispida & M. expansa; Studer)","2019 (Chow et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,2,NA,NA,"colonial","spawner","hermaphrodite","yes",0,1,1,0,2,NA,"LC"
"75","Montipora hoffmeisteri","Montipora","Montipora","DD","1985 (ZRC, 19850722)","2018 (Wong et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,2,NA,NA,"colonial","spawner","hermaphrodite","yes",0,1,0,0,0,NA,"LC"
"76","Montipora informis","Montipora","Montipora","LC","1954 (ZRC, 195407)","2019 (Chow et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,2,NA,NA,"colonial","spawner","hermaphrodite","yes",0,1,0,1,0,NA,"LC"
"77","Montipora millepora","Montipora","Montipora","DD","1992 (ZRC, 199204)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,2,NA,NA,"colonial",NA,NA,NA,0,1,0,1,0,NA,"LC"
