"","spp","modgen","pastgen","RDB3.status","First.known","Last.known","grow","n.grow","sd.grow","skel","n.skel","sd.skel","calc","n.calc","sd.calc","corwidth","n.corwidth","cmd","n.cmd","col","repmode","sex","symb","branching","encrusting","laminar","massive","submassive","lifehist","iucn"
"195","Echinopora lamellosa","Echinopora","Echinopora","LC","1881 (as Echinopora flexuosa & E. reflexa; Studer)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85,2,500,1,"colonial","spawner","hermaphrodite",NA,0,0,1,0,0,NA,"LC"
"196","Echinopora pacifica","Echinopora","Echinopora","DD","2009 (as Echinopora pacificus; Huang et al)","2018 (Wong et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Favites abdita","Favites","Favites","LC","1881 (as Prionastraea abdita, P. magnifica & P. robusta; Studer)","2021 (Lee et al)",0.8,1,NA,NA,NA,NA,NA,NA,NA,11.25,2,100,2,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,"stress-tolerant","NT"
"198","Favites chinensis","Favites","Favites","LC","1986 (Chou & Wong)","2021 (Lee et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,"stress-tolerant","NT"
"199","Favites colemani","Favites","Montastraea","DD","2009 (as Montastrea colemani; Huang et al)","2009 (Huang et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.95,2,40,1,"colonial",NA,NA,NA,0,1,0,0,1,NA,"NT"
"200","Favites complanata","Favites","Favites","LC","1985 (ZRC, 19850721)","2021 (Lee et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,NA,"NT"
"201","Favites flexuosa","Favites","Favites","VU","1986 (REST Survey)","2020 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,16,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,1,0,NA,"NT"
"202","Favites halicora","Favites","Favites","LC","1985 (ZRC, 19850706)","2020 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,2,NA,NA,"colonial","spawner","hermaphrodite","no",0,0,0,1,0,"stress-tolerant","NT"
"203","Favites magnistellata","Favites","Montastraea","NT","1986 (ZRC, 19860509)","2017 (REL Collections)",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,2,200,1,"colonial","spawner","hermaphrodite","no",0,1,0,1,0,NA,"NT"
"204","Favites paraflexuosus","Favites","Favites","DD","2009 (as Favites paraflexuosa; Huang et al)","2020 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.35,2,60,1,"colonial",NA,NA,NA,0,1,0,1,0,NA,"NT"
"205","Favites pentagona","Favites","Favites","LC","1995 (Loo & Chou)","2021 (Lee et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.15,2,100,2,"colonial","spawner","hermaphrodite",NA,0,1,0,0,2,"stress-tolerant","LC"
"206","Favites rotundata","Favites","Favia","DD","1995 (as Favia rotundata; Loo & Chou)","2020 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7,2,NA,NA,"colonial",NA,NA,NA,0,1,0,1,0,NA,"NT"
"207","Favites valenciennesi","Favites","Montastraea","LC","1977 (Chuang)","2021 (Lee et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.75,2,NA,NA,"colonial","spawner","hermaphrodite","no",0,1,0,0,1,"stress-tolerant","NT"
"208","Goniastrea edwardsi","Goniastrea","Goniastrea","LC","1881 (as Goniastraea capitata; Studer)","2019 (Chow et al)",9.8625,4,2.27133404265716,NA,NA,NA,NA,NA,NA,3.75,2,100,2,"colonial","spawner","hermaphrodite","no",0,0,0,1,0,"stress-tolerant","LC"
"209","Goniastrea favulus","Goniastrea","Goniastrea","LC","1995 (Loo & Chou)","2020 (Ng et al)",4.05,2,0.353553390593274,NA,NA,NA,NA,NA,NA,5.75,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,1,0,"stress-tolerant","NT"
"210","Goniastrea minuta","Goniastrea","Goniastrea","DD","2005 (Guest et al (b))","2015 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,0,1,NA,"NT"
"211","Goniastrea pectinata","Goniastrea","Goniastrea","LC","1956 (Purchon)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,0,1,NA,"LC"
"212","Goniastrea retiformis","Goniastrea","Goniastrea","LC","1961 (Chuang)","2021 (Lee et al)",7.27,5,0.845281018360166,1.7,1,NA,NA,NA,NA,5,2,100,2,"colonial","spawner","hermaphrodite","no",0,1,0,1,1,"stress-tolerant","LC"
"213","Goniastrea stelligera","Goniastrea","Favia","DD","1985 (ZRC, 19850715)","2009 (Huang)",10,1,NA,NA,NA,NA,NA,NA,NA,4.15,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,1,1,"stress-tolerant","NT"
"214","Hydnophora exesa","Hydnophora","Hydnophora","LC","1881 (Studer)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,2,100,1,"colonial","spawner","hermaphrodite",NA,0,2,1,0,1,"generalist","NT"
"215","Hydnophora grandis","Hydnophora","Hydnophora","NT","2018 (Wong et al)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,"colonial",NA,NA,NA,1,1,0,0,0,NA,"LC"
"216","Hydnophora microconos","Hydnophora","Hydnophora","DD","1977 (Chuang)","2017 (BioBlitz_SIMP2017)",8.9,2,3.67695526217005,1.37,1,NA,0.43,1,NA,5.4,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,"stress-tolerant","NT"
"217","Hydnophora rigida","Hydnophora","Hydnophora","NT","1881 (Studer)","2020 (Lim et al)",71,1,NA,NA,NA,NA,NA,NA,NA,5.7,2,NA,NA,"colonial","spawner","hermaphrodite",NA,1,0,0,0,1,NA,"LC"
"218","Leptoria phrygia","Leptoria","Leptoria","LC","1956 (Purchon)","2018 (Wong et al)",NA,NA,NA,1.61,1,NA,NA,NA,NA,3.05,2,NA,NA,"colonial","spawner","hermaphrodite","no",0,0,0,1,2,"stress-tolerant","NT"
"219","Merulina ampliata","Merulina","Merulina","LC","1881 (Studer)","2020 (Kikuzawa et al)",22.494,8,8.63536065918996,NA,NA,NA,NA,NA,NA,5,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,1,0,1,"generalist","LC"
"220","Merulina scabricula","Merulina","Merulina","LC","1985 (ZRC, 19850621)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65,2,NA,NA,"colonial",NA,NA,NA,0,0,1,0,1,NA,"LC"
"221","Mycedium elephantotus","Mycedium","Mycedium","LC","1956 (as Mycedium tubifex; Purchon)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.75,2,300,1,"colonial","spawner","hermaphrodite",NA,0,1,1,0,0,"generalist","LC"
"222","Oulophyllia bennettae","Oulophyllia","Oulophyllia","DD","2005 (Guest et al (b))","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1,2,NA,NA,"colonial","spawner",NA,NA,0,0,0,1,0,NA,"NT"
"223","Oulophyllia crispa","Oulophyllia","Oulophyllia","LC","1995 (as Oulophyllia crispata; Loo & Chou)","2017 (BioBlitz_SIMP2017)",21,2,1.4142135623731,NA,NA,NA,NA,NA,NA,9.3,2,100,2,"colonial","spawner","hermaphrodite","no",0,1,0,1,0,"stress-tolerant","NT"
"224","Paragoniastrea australensis","Paragoniastrea","Goniastrea","LC","1956 (as Goniastrea benhami; Purchon)","2021 (Lee et al)",3.76666666666667,3,1.58850034099251,NA,NA,NA,NA,NA,NA,9.25,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,0,1,"stress-tolerant","LC"
"225","Paragoniastrea russelli","Paragoniastrea","Favites","DD","1995 (as Favites russelli; Loo & Chou)","2017 (REL Collections)",NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,0,1,NA,"NT"
"226","Pectinia alcicornis","Pectinia","Pectinia","NT","1986 (ZRC, 19860429)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,20,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,1,0,1,NA,"VU"
"227","Pectinia crassa","Pectinia","Pectinia","LC","2017 (BioBlitz_SIMP2017)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD"
"228","Pectinia lactuca","Pectinia","Pectinia","NT","1881 (as Tridacophyllia lactuca & T. symphylloides; Studer)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,28.75,2,100,2,"colonial","spawner","hermaphrodite",NA,0,1,1,0,1,NA,"VU"
"229","Pectinia paeonia","Pectinia","Pectinia","LC","1881 (as Tridacophyllia laciniata; Studer)","2021 (Lee et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,32.5,2,100,1,"colonial","spawner","hermaphrodite","no",0,0,1,0,0,NA,"NT"
"230","Physophyllia ayleni","Physophyllia","Pectinia","DD","2009 (as Pectinia ayleni; Huang et al 2009)","2019 (Chow et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2,NA,NA,"colonial",NA,NA,NA,0,1,1,0,0,NA,"NT"
"231","Platygyra daedalea","Platygyra","Platygyra","LC","1881 (as Coeloria daedalea; Studer)","2021 (Lee et al)",22,1,NA,NA,NA,NA,NA,NA,NA,7.9,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,1,0,"stress-tolerant","LC"
"232","Platygyra lamellina","Platygyra","Platygyra","VU","1956 (Purchon)","2020 (Kikuzawa et al)",7.4,1,NA,NA,NA,NA,NA,NA,NA,8.6,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,1,0,"stress-tolerant","NT"
"233","Platygyra pini","Platygyra","Platygyra","LC","1995 (Loo & Chou)","2021 (Lee et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.95,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,1,0,NA,"LC"
"234","Platygyra ryukyuensis","Platygyra","Platygyra","DD","2005 (Guest et al (b))","2009 (Huang et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,NA,"NT"
"235","Platygyra sinensis","Platygyra","Platygyra","LC","1881 (as Coeloria stricta & C. sinensis; Studer)","2021 (Lee et al)",8.36666666666667,3,3.06648550189518,NA,NA,NA,NA,NA,NA,5,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,1,0,"stress-tolerant","LC"
"236","Platygyra verweyi","Platygyra","Platygyra","NT","1995 (Loo & Chou)","2021 (Lee et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"NT"
"237","Plerogyra sinuosa","Plerogyra","Plerogyra","VU","1881 (as Plerogyra laxa; Studer)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,2,100,1,"colonial",NA,NA,NA,0,0,0,1,0,"stress-tolerant","NT"
"238","Scapophyllia cylindrica","Scapophyllia","Scapophyllia","VU","1956 (Purchon)","2019 (Leveque et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.35,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,0,1,NA,"LC"
"239","Trachyphyllia geoffroyi","Trachyphyllia","Trachyphyllia","EN","1881 (as Trachyphyllia armaranthus; Studer)","2020 (Lim et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,2,8,1,"colonial",NA,NA,NA,0,0,0,1,0,NA,"NT"
"240","Physogyra lichtensteini","Physogyra","Physogyra","VU","1986 (ZRC, 19860418)","2018 (Wong et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2,100,1,"colonial",NA,NA,NA,0,1,0,1,0,"stress-tolerant","VU"
"241","Plesiastrea versipora","Plesiastrea","Plesiastrea","DD","2017 (BioBlitz_SIMP2017)","2020 (Quek et al)",4.1375,8,2.52978683461106,NA,NA,NA,NA,NA,NA,3.75,2,300,3,"colonial","spawner","gonochore",NA,0,0,0,1,0,"stress-tolerant","LC"
"242","Madracis kirbyi","Madracis","Madracis","DD","1995 (Loo & Chou)","2019 (REL Collections)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,2,125,1,"colonial",NA,NA,NA,0,1,1,0,2,NA,"LC"
"243","Pocillopora acuta","Pocillopora","Pocillopora","LC","1881 (as Pocillopora damicornis and P. bulbosa; Studer)","2021 (Lee et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Pocillopora cf. verrucosa","Pocillopora","Pocillopora","DD","Studder 1881","2009 (Lee & Sin)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Seriatopora hystrix","Seriatopora","Seriatopora","NEx","1956 (Purchon)","1961 (Chuang) ",32.7,4,16.8338943800892,2.2,1,NA,NA,NA,NA,0.7,2,NA,NA,"colonial","brooder","hermaphrodite","yes",1,0,0,0,0,"weedy","LC"
"246","Stylophora pistillata","Stylophora","Stylophora","CR","Studder 1881","2010 (K Tun, as per comms)",20.9215732590476,24,8.19684833725826,1.70310449992,25,0.234457008767086,NA,NA,NA,1.15,2,NA,NA,"colonial","brooder","hermaphrodite","yes",1,0,0,0,1,"weedy","NT"
"247","Bernardpora stutchburyi","Bernardpora","Goniopora","LC","1956 (as Goniopora stutchburyi; Purchon)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2,NA,NA,"colonial",NA,"gonochore",NA,0,1,0,0,1,NA,"LC"
"248","Goniopora columna","Goniopora","Goniopora","LC","1956 (Purchon)","2021 (Lee et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,2,NA,NA,"colonial","spawner","gonochore",NA,0,0,0,0,1,NA,"NT"
"249","Goniopora djiboutiensis","Goniopora","Goniopora","NT","1986 (ZRC, 19860429)","2020 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.95,2,NA,NA,"colonial","spawner","gonochore",NA,0,0,0,0,2,NA,"LC"
"250","Goniopora eclipsensis","Goniopora","Goniopora","DD","1985 (ZRC, 19850719)","1985 (ZRC, 19850719)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55,2,NA,NA,"colonial",NA,NA,NA,0,0,0,0,1,NA,"LC"
"251","Goniopora fruticosa","Goniopora","Goniopora","DD","1956 (Purchon)","1995 (Loo & Chou)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2,NA,NA,"colonial",NA,NA,NA,1,1,0,0,0,NA,"LC"
"252","Goniopora lobata","Goniopora","Goniopora","LC","1956 (Purchon)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2,NA,NA,"colonial","spawner","gonochore",NA,0,0,0,1,1,NA,"NT"
"253","Goniopora pandoraensis","Goniopora","Goniopora","LC","1995 (Loo & Chou)","2019 (Chow et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35,2,NA,NA,"colonial",NA,NA,NA,0,0,0,0,1,NA,"LC"
"254","Goniopora pedunculata","Goniopora","Goniopora","DD","2017 (as Goniopora minor; BioBlitz_SIMP2017)","2021 (Lee et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Goniopora pendulus","Goniopora","Goniopora","DD","1987 (ZRC.1987.1916, Huang et al)","2020 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.85,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"LC"
"256","Goniopora somaliensis","Goniopora","Goniopora","DD","1985 (ZRC, 19850721)","2014 (Junjie et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65,2,200,2,"colonial",NA,NA,NA,0,1,0,0,0,NA,"LC"
"257","Goniopora stokesi","Goniopora","Goniopora","NT","1987 (ZRC, 19870209)","2018 (Wong et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,2,10,1,"colonial",NA,NA,NA,0,0,0,1,1,NA,"NT"
"258","Goniopora tenuidens","Goniopora","Goniopora","DD","2018 (Wong et al)","2020 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"colonial","spawner","gonochore",NA,0,0,0,1,0,NA,"LC"
"259","Porites australiensis","Porites","Porites","LC","1986 (REST Survey)","2020 (Ng et al)",12.4615384615385,13,4.55622988546789,1.325,1,NA,NA,NA,NA,1.23333333333333,3,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,"stress-tolerant","LC"
"260","Porites cylindrica","Porites","Porites","VU","1986 (ZRC, 19860418)","2020 (Kikuzawa et al)",18.3576666666667,6,8.98762245906372,1.42,2,0.0565685424949239,0.44,1,NA,0.95,2,1000,1,"colonial","spawner","gonochore","yes",1,1,0,0,0,"weedy","NT"
"261","Porites deformis","Porites","Porites","DD","2009 (Huang et al)","2020 (Ng et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,2,NA,NA,"colonial",NA,NA,NA,0,0,0,0,1,NA,"NT"
"262","Porites lichen","Porites","Porites","DD","1985 (ZRC, 19850614)","2009 (Huang et al)",16.3,1,NA,NA,NA,NA,NA,NA,NA,1.35,2,NA,NA,"colonial",NA,NA,NA,0,0,1,0,1,NA,"LC"
"263","Porites lobata","Porites","Porites","LC","1977 (Chuang)","2021 (Lee et al)",9.84750278293135,77,4.67857644754425,1.37504347826087,46,0.129351537640088,0.792,5,0.563489130329947,1,2,685,2,"colonial","spawner","gonochore","yes",0,0,0,1,0,"stress-tolerant","NT"
"264","Porites lutea","Porites","Porites","LC","1956 (Purchon)","2021 (Moynihan et al)",14.4927857142857,70,6.03179580271001,1.27645238095238,42,0.200490277409295,2.06531818181818,22,0.584019682183305,1.1,3,400,1,"colonial","spawner","gonochore",NA,0,0,0,1,0,"stress-tolerant","LC"
"265","Porites monticulosa","Porites","Porites","DD","2009 (Huang et al)","2019 (Chow et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,2,100,1,"colonial",NA,NA,NA,1,2,1,1,0,NA,"LC"
"266","Porites murrayensis","Porites","Porites","DD","1995 (Loo & Chou)","1995 (Loo & Chou)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,2,20,2,"colonial","brooder","gonochore","yes",0,0,0,1,0,NA,"NT"
"267","Porites nigrescens","Porites","Porites","DD","1878 (as Porites saccharata; Brüggemann)","1995 (Loo & Chou)",17.8,1,NA,NA,NA,NA,NA,NA,NA,1.5,2,NA,NA,"colonial",NA,NA,NA,1,1,0,0,0,NA,"VU"
"268","Porites rus","Porites","Porites","NT","1956 (as Porites convexa; Purchon)","2021 (Lee et al)",15.24,3,9.9240870612868,NA,NA,NA,NA,NA,NA,0.7,2,500,2,"colonial","spawner","gonochore",NA,0,1,1,0,2,"weedy","LC"
"269","Porites solida","Porites","Porites","DD","1977 (Chuang)","1995 (Loo & Chou)",13.46,5,5.16797832812793,1.194,1,NA,NA,NA,NA,1.45,2,NA,NA,"colonial","spawner","gonochore",NA,0,0,0,1,0,NA,"LC"
"270","Porites stephensoni","Porites","Porites","DD","1986 (ZRC, 19860429)","1995 (Loo & Chou)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,2,10,3,"colonial","brooder",NA,"yes",0,1,0,1,1,NA,"NT"
"271","Porites vaughani","Porites","Porites","DD","1995 (Loo & Chou)","1995 (Loo & Chou)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,2,20,1,"colonial",NA,NA,NA,0,1,1,0,1,NA,"LC"
"272","Psammocora contigua","Psammocora","Psammocora","NT","1881 (Studer)","2020 (Lim et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,2,50,1,"colonial",NA,"gonochore",NA,0,0,0,0,2,NA,"NT"
"273","Psammocora haimiana","Psammocora","Psammocora","LC","1956 (as Psammocora togianensis; Purchon)","2020 (Kikuzawa et al)",29.5,2,0.707106781186548,NA,NA,NA,NA,NA,NA,3.15,2,NA,NA,"colonial",NA,NA,NA,0,0,0,0,1,NA,"LC"
"274","Psammocora nierstraszi","Psammocora","Psammocora","VU","1988 (REST Survey)","2020 (Lim et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","Psammocora profundacella","Psammocora","Psammocora","DD","1995 (as Psammocora superficialis; Loo & Chou)","2020 (Kikuzawa et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15,2,NA,NA,"colonial","spawner",NA,"no",0,0,1,0,1,NA,"LC"
"276","Pseudosiderastrea tayamai","Pseudosiderastrea","Pseudosiderastrea","LC","1956 (Purchon)","2021 (Lee et al)",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,2,16,3,"colonial",NA,NA,NA,0,1,0,1,0,NA,"NT"
