spp,modgen,pastgen,grow,n.grow,sd.grow,skel,n.skel,sd.skel,calc,n.calc,sd.calc,corwidth,n.corwidth,cmd,n.cmd,col,repmode,sex,symb,branching,encrusting,laminar,massive,submassive,competitive,stress-tolerant,weedy,generalist,datadeficient,iucnLC,iucnNT,iucnVU,iucnEN,iucnDD,rdb3lc,rdb3nt,rdb3vu,rdb3en,rdb3cr,rdb3nex,rdb3dd,First.known.year,First.known,Last.known.year,Last.known
Echinophyllia echinoporoides,Echinophyllia,Echinophyllia,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,2,140,1,1,1,NA,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1995,(Loo & Chou),2020,(Ng et al)
Echinophyllia glabra,Echinophyllia,Oxypora,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25,2,NA,NA,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1985,"(ZRC, 19850701)",2020,(Ng et al)
Echinopora gemmacea,Echinopora,Echinopora,29.9,1,NA,1.49,1,NA,4.46,1,NA,3.6,2,200,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1995,(Loo & Chou),2020,(Ng et al)
Echinopora hirsutissima,Echinopora,Echinopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.95,2,NA,NA,1,1,NA,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1995,(Loo & Chou),2009,(Huang et al)
Echinopora horrida,Echinopora,Echinopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2,500,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,"
18",8 (BrÃ¼ggemann),2018,(Wong et al)
Echinopora lamellosa,Echinopora,Echinopora,34.2,1,NA,1.69,1,NA,5.77,1,NA,2.85,2,500,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1881,(as Echinopora flexuosa & E. reflexa; Studer),2020,(Kikuzawa et al)
Echinopora pacifica,Echinopora,Echinopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55,2,NA,NA,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2009,(as Echinopora pacificus; Huang et al),2018,(Wong et al)
Euphyllia glabrescens,Euphyllia,Euphyllia,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,2,NA,NA,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1881,(as Euphyllia turgida; Studer),2020,(Lim et al)
Favites abdita,Favites,Favites,0.8,1,NA,1.27,1,NA,0.1,1,NA,11.25,2,100,2,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1881,"(as Prionastraea abdita, P. magnifica & P. robusta; Studer)",2021,(Lee et al)
Favites chinensis,Favites,Favites,NA,NA,NA,1.38,1,NA,NA,NA,NA,10,2,30,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1986,(Chou & Wong),2021,(Lee et al)
Favites colemani,Favites,Montastraea,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.95,2,40,1,1,NA,NA,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2009,(as Montastrea colemani; Huang et al),2009,(Huang et al)
Favites complanata,Favites,Favites,7.5,1,NA,1.21,1,NA,0.91,1,NA,13.4,2,60,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1985,"(ZRC, 19850721)",2021,(Lee et al)
Favites flexuosa,Favites,Favites,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,2,NA,NA,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1986,(REST Survey),2020,(Ng et al)
Favites halicora,Favites,Favites,15.8,1,NA,1.38,1,NA,2.18,1,NA,13.8,2,35,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1985,"(ZRC, 19850706)",2020,(Ng et al)
Favites magnistellata,Favites,Montastraea,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,2,200,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1986,"(ZRC, 19860509)",2017,(REL Collections)
Favites paraflexuosus,Favites,Favites,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.35,2,60,1,1,1,NA,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2009,(as Favites paraflexuosa; Huang et al),2020,(Ng et al)
Favites pentagona,Favites,Favites,11.9,1,NA,1.25,1,NA,1.48,1,NA,6.15,2,100,2,1,1,1,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1995,(Loo & Chou),2021,(Lee et al)
Favites rotundata,Favites,Favia,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7,2,NA,NA,1,1,NA,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1995,(as Favia rotundata; Loo & Chou),2020,(Ng et al)
Favites valenciennesi,Favites,Montastraea,NA,NA,NA,1.18,1,NA,NA,NA,NA,8.75,2,80,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1977,(Chuang),2021,(Lee et al)
Fimbriaphyllia ancora,Fimbriaphyllia,Euphyllia,NA,NA,NA,1.1,1,NA,NA,NA,NA,30.5,2,100,1,1,1,0,NA,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1995,(as Euphyllia ancora; Loo & Chou),2020,(Lim et al)
