spp,modgen,pastgen,grow,n.grow,sd.grow,skel,n.skel,sd.skel,calc,n.calc,sd.calc,corwidth,n.corwidth,cmd,n.cmd,col,repmode,sex,symb,branching,encrusting,laminar,massive,submassive,competitive,stress-tolerant,weedy,generalist,datadeficient,iucnLC,iucnNT,iucnVU,iucnEN,iucnDD,rdb3lc,rdb3nt,rdb3vu,rdb3en,rdb3cr,rdb3nex,rdb3dd,First.known.year,First.known,Last.known.year,Last.known
Acropora willisae,Acropora,Acropora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2,100,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1986,"(ZRC, 19860826)",1986,"(ZRC, 19860826)"
Alveopora allingi,Alveopora,Alveopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05,2,NA,NA,1,NA,NA,NA,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1995,(Loo & Chou),1995,(Loo & Chou)
Alveopora catalai,Alveopora,Alveopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05,2,1000,3,1,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1987,"(ZRC.1987.1890, Huang et al)",1987,"(ZRC.1987.1890, Huang et al)"
Alveopora excelsa,Alveopora,Alveopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85,2,200,1,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1881,(Studer),1961,(Chuang)
Alveopora fenestrata,Alveopora,Alveopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,2,NA,NA,1,1,NA,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1881,(as Alveopora retusa; Studer),1986,"(ZRC, 19860400)"
Alveopora marionensis,Alveopora,Alveopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2,NA,NA,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1995,(Loo & Chou),1995,(Loo & Chou)
Alveopora spongiosa,Alveopora,Alveopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,2,200,2,1,NA,NA,NA,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2009,(Huang et al),2018,(REL collections)
Alveopora tizardi,Alveopora,Alveopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45,2,5,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2009,(Huang et al),2017,(REL collections)
Astrea annuligera,Astrea,Montastraea,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.45,2,NA,NA,1,1,NA,NA,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1986,(REST Survey),1995,(as Montastrea annuligera; Loo & Chou)
Astrea curta,Astrea,Montastraea,2.6,2,0.141421356,NA,NA,NA,NA,NA,NA,8.15,2,NA,NA,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1985,"(ZRC, 19850729)",2009,(Huang et al)
Astreopora cucullata,Astreopora,Astreopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05,2,NA,NA,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1986,(REST Survey),2017,(REL collections)
Astreopora expansa,Astreopora,Astreopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2,100,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1991,"(ZRC.1991.692, Huang et al)",2020,(Quek et al)
Astreopora gracilis,Astreopora,Astreopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,2,50,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1988,"(ZRC, 19881209)",2021,(Lee et al)
Astreopora incrustans,Astreopora,Astreopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,2,100,1,1,1,NA,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1984,"(ZRC, 19840410)",2017,(REL collections)
Astreopora listeri,Astreopora,Astreopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45,2,200,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1986,"(ZRC, 19860418)",2020,(Kikuzawa et al)
Astreopora myriophthalma,Astreopora,Astreopora,7.75,2,3.535533906,0.83,1,NA,0.64,1,NA,2.2,2,100,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1956,(as Astraeopora myriophthalma; Purchon),2020,(Lim et al)
Bernardpora stutchburyi,Bernardpora,Goniopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2,25,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1956,(as Goniopora stutchburyi; Purchon),2020,(Kikuzawa et al)
Caulastraea echinulata,Caulastraea,Caulastraea,NA,NA,NA,1.11,1,NA,NA,NA,NA,11.6,2,60,1,1,1,NA,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1881,(as Dasyphyllia echinulata; Studer),2020,(Lim et al)
Caulastraea furcata,Caulastraea,Caulastraea,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,500,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1977,"(as Caulastrea furcata, Chuang)",2012,(Ng et al)
Cladopsammia gracilis,Cladopsammia,Tubastraea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,1,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1995,(as Dendrophyllia gracilis; Loo & Chou),1995,(as Dendrophyllia gracilis; Loo & Chou)
Coelastrea incrustans,Coelastrea,Goniastrea,4,2,0.141421356,1.35,1,NA,0.54,1,NA,10,2,500,2,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1977,(as Goniastrea mantonae; Chuang),2021,(as Coelastrea aspera; Lee et al)
Coelastrea palauensis,Coelastrea,Goniastrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,2,20,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1986,(as Goniastrea palauensis; Chou & Wong),2019,(Chow et al)
Coscinaraea columna,Coscinaraea,Coscinaraea,NA,NA,NA,1.41,1,NA,NA,NA,NA,4.75,2,80,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1985,"(ZRC, 19850722)",2020,(Ng et al)
Coscinaraea exesa,Coscinaraea,Coscinaraea,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.35,2,NA,NA,1,1,NA,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1995,(Loo & Chou),1995,(Loo & Chou)
Ctenactis albitentaculata,Ctenactis,Fungia,NA,NA,NA,NA,NA,NA,NA,NA,NA,260,1,NA,NA,0,1,NA,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1860, (record consolidated by Hoeksema & Koh 2009),1986,91 (record consolidated by Hoeksema & Koh 2009)
Ctenactis crassa,Ctenactis,Fungia,NA,NA,NA,NA,NA,NA,NA,NA,NA,236,1,NA,NA,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1986,91 (record consolidated by Hoeksema & Koh 2009),2020,(Ng et al)
Ctenactis echinata,Ctenactis,Fungia,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,1,50,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1860, (record consolidated by Hoeksema & Koh 2009),2020,(Prasetia et al)
Cycloseris costulata,Cycloseris,Fungia,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,2,8,3,0,NA,NA,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1987,"(as ?Cycloseris marginata; ZRC, 19870603)",1995,(Loo & Chou)
Cycloseris explanulata,Cycloseris,Psammocora,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.95,2,NA,NA,0,1,NA,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1995,(as Psammocora explanulata; Loo & Chou),2020,(Kikuzawa et al)
Cycloseris mokai,Cycloseris,Lithophyllon,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,2,10,3,0,NA,NA,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1988,"(ZRC, 19880900)",1995,(Loo & Chou)
Cycloseris vaughani,Cycloseris,Fungia,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.5,1,NA,NA,0,1,NA,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1995,(as Fungia vaughani; Loo & Chou),1995,(as Fungia vaughani; Loo & Chou)
Cyphastrea chalcidicum,Cyphastrea,Cyphastrea,NA,NA,NA,0.93,1,NA,NA,NA,NA,2.2,2,100,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1956,(Purchon),2021,(Lee et al)
Cyphastrea microphthalma,Cyphastrea,Cyphastrea,8.4,1,NA,1.35,1,NA,1.13,1,NA,2.15,2,30,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1977,(Chuang),2020,(Ng et al)
Cyphastrea serailia,Cyphastrea,Cyphastrea,5.9,4,3.609247382,1.12,1,NA,0.55,1,NA,1.9,2,30,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1977,(Chuang),2020,(Kikuzawa et al)
Danafungia horrida,Danafungia,Fungia,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,1,20,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1881,(as Fungia danai; Studer),1995,(Loo & Chou)
Danafungia scruposa,Danafungia,Fungia,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,1,26,4,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1860, (record consolidated by Hoeksema & Koh 2009),2020,(Prasetia et al)
Diploastrea heliopora,Diploastrea,Diploastrea,8.8,31,0.35286272,1.24,1,NA,1.1,1,NA,8,2,700,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1956,(Purchon),2021,(Lee et al)
Dipsastraea amicorum,Dipsastraea,Favia,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,2,NA,NA,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1985,"(ZRC, 19850715)",2009,(Huang et al)
Dipsastraea danai,Dipsastraea,Favia,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,15,1,1,1,NA,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2009,(as Favia danae; Huang et al),2020,(Ng et al)
Dipsastraea favus,Dipsastraea,Favia,12.7,1,NA,0.91,1,NA,1.15,1,NA,8.833333333,3,40,2,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1881,(as Favia affinis; Studer),2021,(Lee et al)
Dipsastraea helianthoides,Dipsastraea,Favia,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,2,NA,NA,1,1,NA,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2009,(as Favia helianthoides; Huang et al (b)),2009,(as Favia helianthoides; Huang et al (b))
Dipsastraea laxa,Dipsastraea,Favia,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,2,NA,NA,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1995,(as Favia laxa; Loo & Chou),2017,(as Dipsastraea cf. laxa; REL collections)
Dipsastraea lizardensis,Dipsastraea,Favia,NA,NA,NA,0.89,1,NA,NA,NA,NA,13.35,2,100,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1995,(as Favia lizardensis; Loo & Chou),2020,(Lim et al)
Dipsastraea maritima,Dipsastraea,Favia,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3,2,NA,NA,1,1,NA,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1995,(as Favia maritima; Loo & Chou),2020,(Ng et al)
Dipsastraea matthaii,Dipsastraea,Favia,NA,NA,NA,1.02,1,NA,NA,NA,NA,11.3,2,40,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1995,(as Favia matthaii; Loo & Chou),2020,(Kikuzawa et al)
Dipsastraea maxima,Dipsastraea,Favia,NA,NA,NA,0.91,1,NA,NA,NA,NA,26,2,7,1,1,1,NA,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2007,(as Favia maxima; Ang),2020,(Kikuzawa et al)
Dipsastraea mirabilis,Dipsastraea,Favia,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,2,5,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2017,(BioBlitz_SIMP2017),2018,(Wong et al)
Dipsastraea pallida,Dipsastraea,Favia,4.533333333,3,1.201388086,1.43,1,NA,0.61,1,NA,8.5,2,10,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1977,(Chuang),2020,(Kikuzawa et al)
Dipsastraea rotumana,Dipsastraea,Favia,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,2,NA,NA,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2009,(as Favia rotumana; Huang et al),2009,(as Favia rotumana; Huang et al)
Dipsastraea speciosa,Dipsastraea,Favia,6.378571429,14,1.543810755,1.05,1,NA,0.67,1,NA,8.7,2,75,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1881,(as Favia speciosa; Studer),2021,(Lee et al)
Dipsastraea veroni,Dipsastraea,Favia,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.75,2,NA,NA,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1995,(as Favia veroni; Loo & Chou),2009,(as Favia veroni; Huang et al)
Duncanopsammia peltata,Duncanopsammia,Turbinaria,11.5,1,NA,1.27,1,NA,1.46,1,NA,4.5,2,80,1,1,1,NA,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1881,(as Turbinaria peltata; Studer),2021,(as Turbinaria peltata; Lee et al)
Echinophyllia aspera,Echinophyllia,Echinophyllia,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.85,2,120,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1985,"(ZRC, 19850805)",2020,(Kikuzawa et al)
