spp,modgen,pastgen,grow,n.grow,sd.grow,skel,n.skel,sd.skel,calc,n.calc,sd.calc,corwidth,n.corwidth,cmd,n.cmd,col,repmode,sex,symb,gf.branching,gf.encrusting,gf.laminar,gf.massive,gf.submassive,lh.competitive,lh.stress-tolerant,lh.weedy,lh.generalist,lh.datadeficient
Duncanopsammia peltata,Duncanopsammia,Turbinaria,11.5,1,NA,1.27,1,NA,1.46,1,NA,4.5,2,80,1,1,1,NA,0,0,1,1,0,1,0,0,0,0,1
Echinophyllia aspera,Echinophyllia,Echinophyllia,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.85,2,120,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1
Echinophyllia echinoporoides,Echinophyllia,Echinophyllia,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,2,140,1,1,1,NA,0,0,1,0,0,0,0,0,0,0,1
Echinophyllia glabra,Echinophyllia,Oxypora,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25,2,NA,NA,1,1,1,0,0,1,1,0,0,0,0,0,0,1
Echinopora gemmacea,Echinopora,Echinopora,29.9,1,NA,1.49,1,NA,4.46,1,NA,3.6,2,200,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0
Echinopora hirsutissima,Echinopora,Echinopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.95,2,NA,NA,1,1,NA,0,0,1,0,0,1,0,0,0,0,1
Echinopora horrida,Echinopora,Echinopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2,500,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1
Echinopora lamellosa,Echinopora,Echinopora,34.2,1,NA,1.69,1,NA,5.77,1,NA,2.85,2,500,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1
Echinopora pacifica,Echinopora,Echinopora,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55,2,NA,NA,1,1,1,0,0,0,1,0,0,0,0,0,0,1
Euphyllia glabrescens,Euphyllia,Euphyllia,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,2,NA,NA,1,0,1,1,0,0,0,1,0,0,0,0,0,1
Favites abdita,Favites,Favites,0.8,1,NA,1.27,1,NA,0.1,1,NA,11.25,2,100,2,1,1,1,0,0,0,0,1,0,0,1,0,0,0
Favites chinensis,Favites,Favites,NA,NA,NA,1.38,1,NA,NA,NA,NA,10,2,30,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0
Favites colemani,Favites,Montastraea,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.95,2,40,1,1,NA,NA,0,0,1,0,0,1,0,0,0,0,1
Favites complanata,Favites,Favites,7.5,1,NA,1.21,1,NA,0.91,1,NA,13.4,2,60,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1
Favites flexuosa,Favites,Favites,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,2,NA,NA,1,1,1,0,0,1,0,1,0,0,0,0,0,1
Favites halicora,Favites,Favites,15.8,1,NA,1.38,1,NA,2.18,1,NA,13.8,2,35,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0
Favites magnistellata,Favites,Montastraea,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,2,200,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1
Favites paraflexuosus,Favites,Favites,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.35,2,60,1,1,1,NA,0,0,1,0,1,0,0,0,0,0,1
Favites pentagona,Favites,Favites,11.9,1,NA,1.25,1,NA,1.48,1,NA,6.15,2,100,2,1,1,1,0,0,1,0,0,2,0,1,0,0,0
Favites rotundata,Favites,Favia,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7,2,NA,NA,1,1,NA,0,0,1,0,1,0,0,0,0,0,1
Favites valenciennesi,Favites,Montastraea,NA,NA,NA,1.18,1,NA,NA,NA,NA,8.75,2,80,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0
Fimbriaphyllia ancora,Fimbriaphyllia,Euphyllia,NA,NA,NA,1.1,1,NA,NA,NA,NA,30.5,2,100,1,1,1,0,NA,0,0,0,1,0,0,0,0,0,1
